N,Neuron class,Neuron,h / m,Neurotransmitter 1,Neurotransmitter 2,Soma Location,Notes ,WA - Lineage,WA - Description
1,ADA,ADAL,,Glutamate (Glu),,Head,,AB plapaaaapp,Ring interneuron
2,,ADAR,,Glutamate (Glu),,Head,,AB prapaaaapp,Ring interneuron
3,ADE,ADEL,,Dopamine (DA),,Head,  Neuron Class - Blue - Sensory neuron,AB plapaaaapa,"Anterior deirid, sensory neuron"
4,,ADER,,Dopamine (DA),,Head,,AB prapaaaapa,"Anterior deirid, sensory neuron"
5,ADF,ADFL,,Acetylcholine (ACh),Serotonin / 5HT,Head,*also express eat-4/VGluT in adult male only,AB alpppppaa,Amphid neuron
6,,ADFR,,Acetylcholine (ACh),Serotonin / 5HT,Head,*also express eat-4/VGluT in adult male only,AB praaappaa,Amphid neuron
7,ADL,ADLL,,Glutamate (Glu),,Head,,AB alppppaad,Amphid neuron
8,,ADLR,,Glutamate (Glu),,Head,,AB praaapaad,Amphid neuron
9,AFD,AFDL,,Glutamate (Glu),,Head,,AB alpppapav,Amphid finger cell
10,,AFDR,,Glutamate (Glu),,Head,,AB praaaapav,Amphid finger cell
11,AIA,AIAL,,Acetylcholine (ACh),,Head, Neuron Class - Gray - Interneuron,AB plppaappa,Amphid interneuron
12,,AIAR,,Acetylcholine (ACh),,Head,,AB prppaappa,Amphid interneuron
13,AIB,AIBL,,Glutamate (Glu),,Head,,AB plaapappa,Amphid interneuron
14,,AIBR,,Glutamate (Glu),,Head,,AB praapappa,Amphid interneuron
15,AIM,AIML,,Serotonin / 5HT,Glu,Head,Possibly '5HT clearance neuron' only,AB plpaapppa,Ring interneuron
16,,AIMR,,Serotonin / 5HT,Glu,Head,Possibly '5HT clearance neuron' only,AB prpaapppa,Ring interneuron
17,AIN,AINL,,Acetylcholine (ACh),,Head,,AB alaaaalal,Ring interneuron
18,,AINR,,Acetylcholine (ACh),,Head,,AB alaapaaar,Ring interneuron
19,AIY,AIYL,,Acetylcholine (ACh),,Head,,AB plpapaaap,Amphid interneuron
20,,AIYR,,Acetylcholine (ACh),,Head,,AB prpapaaap,Amphid interneuron
21,AIZ,AIZL,,Glutamate (Glu),,Head,,AB plapaaapav,Amphid interneuron
22,,AIZR,,Glutamate (Glu),,Head,,AB prapaaapav,Amphid interneuron
23,ALA,ALA,,Unknown,,Head,"P16: Newly assigned as mechanosensory (based on Sanders et al., 2013)",AB alapppaaa,"Neuron, sends processes laterally and along dorsal cord"
24,ALM,ALML,,Glutamate (Glu),,Body wall,,AB arppaappa,Anterior lateral microtubule cell
25,,ALMR,,Glutamate (Glu),,Body wall,,AB arpppappa,Anterior lateral microtubule cell
26,ALN,ALNL,,Acetylcholine (ACh),,Tail,P16: Classified as sensory because of expression of oxygen sensors,AB plapappppap,Neuron associated with ALM
27,,ALNR,,Acetylcholine (ACh),,Tail,,AB prapappppap,Neuron associated with ALM
28,AQR,AQR,,Glutamate (Glu),,Head,,QR.ap,"Neuron, basal body. not part of a sensillum, projects into ring"
29,AS,AS1,,Acetylcholine (ACh),,Head - RVG, Neuron Class - Light Red - Motor neuron,P1.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
30,,AS2,,Acetylcholine (ACh),,VNC,,P2.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
